Country,Life expectancy,Adult Mortality,Immunization Coverage,Bubble Size
Nepal,69.2,165.0,63.666666666666664,49.1891891891892
Netherlands,81.9,57.0,94.66666666666667,83.51351351351353
New Zealand,81.6,66.0,92.0,82.7027027027027
Nicaragua,74.8,145.0,98.33333333333333,64.32432432432431
Niger,61.8,22.0,65.0,29.18918918918918
Nigeria,54.5,344.0,49.0,9.45945945945946
Norway,81.8,59.0,95.0,83.24324324324324
Oman,76.6,99.0,99.0,69.18918918918916
Pakistan,66.4,161.0,72.0,41.621621621621635
Panama,77.8,118.0,72.66666666666667,72.43243243243242
Papua New Guinea,62.9,275.0,71.33333333333333,32.162162162162154
Paraguay,74.0,146.0,91.66666666666667,62.16216216216216
Peru,75.5,123.0,35.333333333333336,66.21621621621621
Philippines,68.5,211.0,30.333333333333332,47.2972972972973
Poland,77.5,117.0,95.33333333333333,71.62162162162163
Portugal,81.1,76.0,98.0,81.35135135135133
Qatar,78.2,68.0,99.0,73.51351351351352
Republic of Korea,82.3,64.0,98.0,84.59459459459458
Republic of Moldova,72.1,157.0,87.66666666666667,57.02702702702701
Romania,75.0,133.0,62.333333333333336,64.86486486486487
Russian Federation,75.0,222.0,97.0,64.86486486486487
Rwanda,66.1,227.0,98.33333333333333,40.81081081081079
Saint Lucia,75.2,138.0,99.0,65.40540540540542
Saint Vincent and the Grenadines,73.2,156.0,97.66666666666667,60.00000000000001
Samoa,74.0,125.0,62.0,62.16216216216216
Sao Tome and Principe,67.5,19.0,96.0,44.5945945945946
Saudi Arabia,74.5,88.0,97.66666666666667,63.51351351351351
Senegal,66.7,188.0,87.66666666666667,42.432432432432435
Serbia,75.6,121.0,94.66666666666667,66.48648648648647
Seychelles,73.2,168.0,97.33333333333333,60.00000000000001
Sierra Leone,51.0,413.0,86.0,0.0
Singapore,83.1,55.0,96.0,86.75675675675674
Slovakia,76.7,19.0,96.0,69.45945945945947
Slovenia,88.0,74.0,95.0,100.0
Solomon Islands,69.2,177.0,98.33333333333333,49.1891891891892
Somalia,55.0,312.0,43.666666666666664,10.81081081081081
South Africa,62.9,328.0,75.0,32.162162162162154
South Sudan,57.3,332.0,34.333333333333336,17.02702702702702
Spain,82.8,56.0,97.0,85.94594594594594
Sri Lanka,74.9,138.0,99.0,64.59459459459461
Sudan,64.1,225.0,93.0,35.40540540540539
Suriname,71.6,176.0,89.0,55.67567567567566
Swaziland,58.9,373.0,34.0,21.351351351351347
Sweden,82.4,53.0,87.66666666666667,84.86486486486487
Switzerland,83.4,49.0,97.0,87.56756756756758
Syrian Arab Republic,64.5,293.0,29.0,36.486486486486484
Tajikistan,69.7,161.0,96.0,50.54054054054055
Thailand,74.9,148.0,99.0,64.59459459459461
The former Yugoslav republic of Macedonia,75.7,12.0,91.66666666666667,66.75675675675676
Timor-Leste,68.3,152.0,75.66666666666667,46.75675675675675
Togo,59.9,287.0,88.0,24.05405405405405
Tonga,73.5,133.0,54.666666666666664,60.810810810810814
Trinidad and Tobago,71.2,17.0,64.33333333333333,54.594594594594604
Tunisia,75.3,1.0,98.0,65.67567567567568
Turkey,75.8,16.0,97.0,67.02702702702702
Turkmenistan,66.3,215.0,99.0,41.35135135135135
Uganda,62.3,291.0,79.33333333333333,30.540540540540533
Ukraine,71.3,195.0,32.0,54.864864864864856
United Arab Emirates,77.1,75.0,99.0,70.54054054054053
United Kingdom of Great Britain and Northern Ireland,81.2,69.0,96.0,81.62162162162163
United Republic of Tanzania,61.8,279.0,97.33333333333333,29.18918918918918
United States of America,79.3,13.0,93.33333333333333,76.48648648648648
Uruguay,77.0,116.0,95.0,70.27027027027027
Uzbekistan,69.4,184.0,99.0,49.72972972972974
Vanuatu,72.0,13.0,64.33333333333333,56.75675675675676
Venezuela (Bolivarian Republic of),74.1,157.0,87.0,62.432432432432414
Viet Nam,76.0,127.0,97.0,67.56756756756756
Yemen,65.7,224.0,67.0,39.72972972972973
Zambia,61.8,33.0,9.0,29.18918918918918
Zimbabwe,67.0,336.0,87.33333333333333,43.24324324324324
