Country,GDP,Life expectancy,Predicted Life Expectancy,Intercept,Coefficient
Estonia,1774.9291,77.6,69.8419809009132,69.26423431122686,0.0003255040382662879
Ethiopia,645.4637627,64.8,69.47433537254027,69.26423431122686,0.0003255040382662879
Fiji,4921.89629,69.9,70.86633142954972,69.26423431122686,0.0003255040382662879
Finland,4245.39744,81.1,70.64612832199222,69.26423431122686,0.0003255040382662879
France,36526.7711,82.4,81.15384580910519,69.26423431122686,0.0003255040382662879
Gabon,7388.984144,66.0,71.66937848878443,69.26423431122686,0.0003255040382662879
Georgia,3764.64912,74.4,70.48964280244249,69.26423431122686,0.0003255040382662879
Germany,41176.88158,81.0,82.66747554872958,69.26423431122686,0.0003255040382662879
Ghana,1361.11395,62.4,69.70728239849244,69.26423431122686,0.0003255040382662879
Greece,187.78991,81.0,69.32536068527752,69.26423431122686,0.0003255040382662879
Grenada,9212.192824,73.6,72.26284027672658,69.26423431122686,0.0003255040382662879
Guatemala,3923.573344,71.9,70.54137327913283,69.26423431122686,0.0003255040382662879
Guinea,554.48766,59.0,69.44472228372568,69.26423431122686,0.0003255040382662879
Guinea-Bissau,596.8717189,58.9,69.45851846605575,69.26423431122686,0.0003255040382662879
Guyana,4136.689919,66.2,70.6107435849168,69.26423431122686,0.0003255040382662879
Haiti,814.5463952,63.5,69.5293724522197,69.26423431122686,0.0003255040382662879
Honduras,2326.15856,74.6,70.02140831615455,69.26423431122686,0.0003255040382662879
Hungary,12365.6263,75.8,73.28929560756868,69.26423431122686,0.0003255040382662879
Iceland,5734.4436,82.7,71.13081886023713,69.26423431122686,0.0003255040382662879
India,1613.18878,68.3,69.78933377360272,69.26423431122686,0.0003255040382662879
Indonesia,3336.16686,69.1,70.35017009648702,69.26423431122686,0.0003255040382662879
Iraq,4974.2693,68.9,70.88337905580087,69.26423431122686,0.0003255040382662879
Ireland,6664.144,81.4,71.43344009481491,69.26423431122686,0.0003255040382662879
Israel,35729.37253,82.5,80.89428935446243,69.26423431122686,0.0003255040382662879
Italy,349.14755,82.7,69.37788324870264,69.26423431122686,0.0003255040382662879
Jamaica,4965.989857,76.2,70.88068406366979,69.26423431122686,0.0003255040382662879
Japan,34474.13736,83.7,80.48570523765356,69.26423431122686,0.0003255040382662879
Jordan,496.99275,74.1,69.42600745834092,69.26423431122686,0.0003255040382662879
Kazakhstan,159.9817,72.0,69.31630900062557,69.26423431122686,0.0003255040382662879
Kenya,1349.97144,63.4,69.70365546649101,69.26423431122686,0.0003255040382662879
Kiribati,1424.483611,66.3,69.7279094790515,69.26423431122686,0.0003255040382662879
Kuwait,28975.418,74.7,78.69584988068054,69.26423431122686,0.0003255040382662879
Latvia,13666.58336,74.6,73.71276238420971,69.26423431122686,0.0003255040382662879
Lebanon,846.632851,74.9,69.53981672315626,69.26423431122686,0.0003255040382662879
Lesotho,173.82893,53.7,69.32081632990936,69.26423431122686,0.0003255040382662879
Liberia,452.38717,61.4,69.41148816192171,69.26423431122686,0.0003255040382662879
Libya,562.549434,72.7,69.44734642371827,69.26423431122686,0.0003255040382662879
Lithuania,14252.42853,73.6,73.9034573528435,69.26423431122686,0.0003255040382662879
Luxembourg,1199.8223,82.0,69.65478131507881,69.26423431122686,0.0003255040382662879
Madagascar,41.8575951,65.5,69.27785912746403,69.26423431122686,0.0003255040382662879
Malawi,362.6575444,58.3,69.3822808064368,69.26423431122686,0.0003255040382662879
Malaysia,9643.644683,75.0,72.40327959914858,69.26423431122686,0.0003255040382662879
Maldives,8395.785198,78.5,71.99709629759218,69.26423431122686,0.0003255040382662879
Mali,729.725338,58.2,69.50176285557109,69.26423431122686,0.0003255040382662879
Malta,23819.4636,81.7,77.01756590236371,69.26423431122686,0.0003255040382662879
Mauritania,1158.256469,63.1,69.6412514692344,69.26423431122686,0.0003255040382662879
Mauritius,9252.11724,74.6,72.27583583536,69.26423431122686,0.0003255040382662879
Mexico,9143.128494,76.7,72.24035955841143,69.26423431122686,0.0003255040382662879
Mongolia,3944.1839,68.8,70.54808209834174,69.26423431122686,0.0003255040382662879
Montenegro,6461.192554,76.1,71.36737857956993,69.26423431122686,0.0003255040382662879
Morocco,2847.285569,74.3,70.19103726203369,69.26423431122686,0.0003255040382662879
Mozambique,528.3125597,57.6,69.436202182876,69.26423431122686,0.0003255040382662879
Myanmar,1194.59137,66.6,69.65307862623992,69.26423431122686,0.0003255040382662879
Namibia,4737.66996,65.8,70.80636501517974,69.26423431122686,0.0003255040382662879
Nepal,743.7653489,69.2,69.50633293581635,69.26423431122686,0.0003255040382662879
Netherlands,44292.88473,81.9,83.68174715730505,69.26423431122686,0.0003255040382662879
New Zealand,3821.8937,81.6,70.50827614440134,69.26423431122686,0.0003255040382662879
Nicaragua,295.966488,74.8,69.36057259826235,69.26423431122686,0.0003255040382662879
Niger,358.99731,61.8,69.38108938535859,69.26423431122686,0.0003255040382662879
Nigeria,2655.157977,54.5,70.1284989549753,69.26423431122686,0.0003255040382662879
Norway,7455.24654,81.8,71.69094716626763,69.26423431122686,0.0003255040382662879
Oman,16627.36433,76.6,74.67650854636669,69.26423431122686,0.0003255040382662879
Pakistan,1431.244865,66.4,69.73011029453225,69.26423431122686,0.0003255040382662879
Panama,13134.4367,77.8,73.5395464974298,69.26423431122686,0.0003255040382662879
Papua New Guinea,2182.716565,62.9,69.97471736752507,69.26423431122686,0.0003255040382662879
Paraguay,419.367724,74.0,69.4007401989074,69.26423431122686,0.0003255040382662879
Peru,63.343259,75.5,69.28485279782831,69.26423431122686,0.0003255040382662879
Philippines,2878.33837,68.5,70.20114507415866,69.26423431122686,0.0003255040382662879
Poland,12565.9876,77.5,73.35451401983096,69.26423431122686,0.0003255040382662879
Portugal,1922.681,81.1,69.89007474102472,69.26423431122686,0.0003255040382662879
Qatar,66346.52267,78.2,90.86029536523768,69.26423431122686,0.0003255040382662879
Romania,8958.788593,75.0,72.18035617622232,69.26423431122686,0.0003255040382662879
Russian Federation,9329.298351,75.0,72.30095859866837,69.26423431122686,0.0003255040382662879
Rwanda,71.348397,66.1,69.28745850257418,69.26423431122686,0.0003255040382662879
Samoa,4149.363444,74.0,70.61486886848337,69.26423431122686,0.0003255040382662879
Sao Tome and Principe,1624.63963,67.5,69.7930610715193,69.26423431122686,0.0003255040382662879
Saudi Arabia,2732.86172,74.5,70.1537918371102,69.26423431122686,0.0003255040382662879
Senegal,98.7256145,66.7,69.29636989742693,69.26423431122686,0.0003255040382662879
Serbia,5237.255334,75.6,70.96898207187552,69.26423431122686,0.0003255040382662879
Seychelles,1539.464,73.2,69.76533605999244,69.26423431122686,0.0003255040382662879
Sierra Leone,587.538233,51.0,69.4554803787042,69.26423431122686,0.0003255040382662879
Singapore,53629.73746,83.1,86.72093042561767,69.26423431122686,0.0003255040382662879
Slovenia,2729.86383,88.0,70.15281601180894,69.26423431122686,0.0003255040382662879
Solomon Islands,1922.41388,69.2,69.88998779238602,69.26423431122686,0.0003255040382662879
Somalia,426.98537,55.0,69.40321977344249,69.26423431122686,0.0003255040382662879
South Africa,5769.77258,62.9,71.14231858589496,69.26423431122686,0.0003255040382662879
South Sudan,758.725782,57.3,69.5112026172046,69.26423431122686,0.0003255040382662879
Spain,25683.84565,82.8,77.62442978850989,69.26423431122686,0.0003255040382662879
Sri Lanka,3844.89123,74.9,70.5157619332865,69.26423431122686,0.0003255040382662879
Sudan,2513.884661,64.1,70.08251392011803,69.26423431122686,0.0003255040382662879
Suriname,8818.982566,71.6,72.13484874985984,69.26423431122686,0.0003255040382662879
Swaziland,3136.92511,58.9,70.28531610227078,69.26423431122686,0.0003255040382662879
Sweden,5585.25847,82.4,71.08225849797284,69.26423431122686,0.0003255040382662879
Switzerland,8989.8424,83.4,72.19046431580435,69.26423431122686,0.0003255040382662879
Syrian Arab Republic,258.3529,64.5,69.34832922347466,69.26423431122686,0.0003255040382662879
Tajikistan,918.6771543,69.7,69.56326743481449,69.26423431122686,0.0003255040382662879
Thailand,5814.863134,74.9,71.15699574330962,69.26423431122686,0.0003255040382662879
Timor-Leste,1161.76935,68.3,69.64239492618586,69.26423431122686,0.0003255040382662879
Togo,551.138346,59.9,69.44363206849326,69.26423431122686,0.0003255040382662879
Tonga,493.775387,73.5,69.42496019369186,69.26423431122686,0.0003255040382662879
Trinidad and Tobago,17321.83373,71.2,74.90256114051905,69.26423431122686,0.0003255040382662879
Tunisia,3828.91589,75.3,70.51056189560381,69.26423431122686,0.0003255040382662879
Turkey,1979.52569,75.8,69.90857791717372,69.26423431122686,0.0003255040382662879
Turkmenistan,6432.668768,66.3,71.35809397204028,69.26423431122686,0.0003255040382662879
Uganda,693.8963829,62.3,69.49010038599918,69.26423431122686,0.0003255040382662879
Ukraine,2124.662666,71.3,69.95582058896348,69.26423431122686,0.0003255040382662879
United Arab Emirates,3911.74689,77.1,70.53752372059745,69.26423431122686,0.0003255040382662879
Uruguay,15524.84247,77.0,74.31763322865983,69.26423431122686,0.0003255040382662879
Uzbekistan,2137.576852,69.4,69.9600242086574,69.26423431122686,0.0003255040382662879
Vanuatu,285.83414,72.0,69.35727447807123,69.26423431122686,0.0003255040382662879
Zambia,1313.889646,61.8,69.69191069683612,69.26423431122686,0.0003255040382662879
Zimbabwe,118.69383,67.0,69.30286963220915,69.26423431122686,0.0003255040382662879
